id,url,title,cena_mies,lokalizacja_raw,ulica,dzielnica,lat,lon,geo_status,parse_quality,geo_variant_used
ID4sBrX,https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-krakow-salwator-48-m2-ID4sBrX,mieszkanie do wynajęcia Kraków Salwator 48 m2,2900,"ul. Bolesława Komorowskiego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",ul. Bolesława Komorowskiego,Zwierzyniec,50.0538976,19.9203697,success,strict,structured_Bolesława Komorowskiego
ID4vxy2,https://www.otodom.pl/pl/oferta/nowe-budownictwo-cisza-laka-ogrod-100m2-klima-garaz-miejsce-postojowe-ID4vxy2,Nowe budownictwo/cisza/łąka/ogród 100m2/klima/garaż+miejsce postojowe,5500,"Tonie, Prądnik Biały, Kraków, małopolskie",,Czyżyny,50.0852790,19.9906243,success,none,structured_małopolskie
ID4xEGp,https://www.otodom.pl/pl/oferta/mieszkanie-41-60-m-krakow-ID4xEGp,"Mieszkanie, 41,60 m², Kraków",2900,"ul. Marii Dąbrowskiej, Bieńczyce, Bieńczyce, Kraków, małopolskie",ul. Marii Dąbrowskiej,Czyżyny,50.0740650,20.0121616,success,strict,structured_Marii Dąbrowskiej
ID4xDwj,https://www.otodom.pl/pl/oferta/nowe-ekskluzywne-mieszkanie-wykonczone-w-wysokim-standardzie-w-centrum-ID4xDwj,"Nowe,ekskluzywne mieszkanie wykonczone w wysokim standardzie w centrum",4500,"ul. Kujawska, Nowa Wieś, Krowodrza, Kraków, małopolskie",ul. Kujawska,Krowodrza,50.0727808,19.9227744,success,strict,structured_Kujawska
ID4xM5h,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokoje-ul-bunscha-ID4xM5h,Bez prowizji - 2 pokoje - ul. Bunscha,2970,"Skotniki, Dębniki, Kraków, małopolskie",Skotniki,Dębniki,50.0021014,19.8672569,success,fallback,structured_Skotniki
ID4xM4K,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokoje-ul-bunscha-ID4xM4K,Bez prowizji - 2 pokoje - ul. Bunscha,3180,"Ruczaj, Dębniki, Kraków, małopolskie",,Czyżyny,50.0852790,19.9906243,success,none,structured_małopolskie
ID4xLhr,https://www.otodom.pl/pl/oferta/4-pokojowe-taras-klimatyzacja-blisko-galerii-krakowskiej-ID4xLhr,"4-pokojowe, taras, klimatyzacja, blisko Galerii Krakowskiej",6700,"ul. Rakowicka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",ul. Rakowicka,Grzegórzki,50.0771319,19.9591349,success,strict,structured_Rakowicka
ID4xLph,https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-ciche-kolo-uek-i-politechniki-ID4xLph,"2-pokoje z ogródkiem, ciche, koło UEK i Politechniki",3200,"ul. Rakowicka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",ul. Rakowicka,Grzegórzki,50.0771319,19.9591349,success,strict,structured_Rakowicka
ID41QZk,https://www.otodom.pl/pl/oferta/wynajme-pokoj-po-remoncie-radzikowskiego-ID41QZk,Wynajmę Pokój Po Remoncie Radzikowskiego,1000,"ul. Eljasza Walerego Radzikowskiego, Azory, Prądnik Biały, Kraków, małopolskie",ul. Eljasza Walerego Radzikowskiego,Prądnik Biały,50.0842386,19.9008258,success,strict,structured_Radzikowskiego
ID4xxXJ,https://www.otodom.pl/pl/oferta/2-pokoje-46-m2-exclusive-wings-plaza-debniki-ID4xxXJ,2 pokoje 46 m2 Exclusive Wings Plaza Dębniki,5000,"ul. Karola Bunscha, Kobierzyn, Dębniki, Kraków, małopolskie",ul. Karola Bunscha,Dębniki,50.0088483,19.8815969,success,strict,structured_Karola Bunscha
ID4xy3o,https://www.otodom.pl/pl/oferta/2-pokoje-48-m2-exclusive-wings-plaza-debniki-ID4xy3o,2 pokoje 48 m2 Exclusive Wings Plaza Dębniki,5100,"ul. Karola Bunscha, Kobierzyn, Dębniki, Kraków, małopolskie",ul. Karola Bunscha,Dębniki,50.0088483,19.8815969,success,strict,structured_Karola Bunscha
ID4xy0S,https://www.otodom.pl/pl/oferta/2-pokoje-49-m2-exclusive-wings-plaza-debniki-ID4xy0S,2 pokoje 49 m2 Exclusive Wings Plaza Dębniki,5200,"ul. Karola Bunscha, Kobierzyn, Dębniki, Kraków, małopolskie",ul. Karola Bunscha,Dębniki,50.0088483,19.8815969,success,strict,structured_Karola Bunscha
ID4xM3M,https://www.otodom.pl/pl/oferta/mieszkanie-55-m-krakow-ID4xM3M,"Mieszkanie, 55 m², Kraków",3700,"ul. gen. Bolesława Roi, Łagiewniki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",ul. Gen. Bolesława Roi,Podgórze Duchackie,50.0209786,19.9521016,success,strict,structured_Gen. Bolesława Roi
ID4xcNj,https://www.otodom.pl/pl/oferta/os-piastow-2-pokoje-oddzielna-kuchnia-ID4xcNj,os. Piastów| 2 pokoje| oddzielna kuchnia,2400,"os. Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",os. Piastów,Mistrzejowice,50.1019272,20.0119093,success,strict,structured_Piastów
ID4xuoa,https://www.otodom.pl/pl/oferta/skowronia-mieszkanie-3-pokojowe-eng-ID4xuoa,Skowronia | mieszkanie 3-pokojowe| ENG,3400,"ul. Skowronia, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",ul. Skowronia,Podgórze Duchackie,50.0255883,19.9682263,success,strict,structured_Skowronia
ID4xIRM,https://www.otodom.pl/pl/oferta/apartament-z-miejscem-postojowym-i-komorka-ID4xIRM,Apartament z miejscem postojowym i komórką,4990,"Łagiewniki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",Łagiewniki-Borek Fałęcki,Podgórze Duchackie,50.0180107,19.9227699,success,fallback,structured_Fałęcki
ID4xM2T,https://www.otodom.pl/pl/oferta/2-niezalezne-pok-49m2-orawska-stare-podgorze-ID4xM2T,2 niezależne pok. 49m2 *Orawska* Stare Podgórze,4000,"Stare Podgórze, Podgórze, Kraków, małopolskie",,Czyżyny,50.0852790,19.9906243,success,none,structured_małopolskie
ID4xM2P,https://www.otodom.pl/pl/oferta/nowoczesne-pierwszy-najemca-bulwary-3-pokoje-ID4xM2P,Nowoczesne - Pierwszy Najemca - Bulwary - 3 pokoje,4900,"ul. Bajeczna, Dąbie, Grzegórzki, Kraków, małopolskie",ul. Bajeczna,Grzegórzki,50.0575031,19.9764216,success,strict,structured_Bajeczna
ID4xDS3,https://www.otodom.pl/pl/oferta/apartament-5-pok-sauna-klimatyzacja-2-tarasy-ID4xDS3,Apartament 5 pok | sauna | klimatyzacja | 2 tarasy,7500,"ul. dr. Jana Piltza, Ruczaj, Dębniki, Kraków, małopolskie",ul. Dr. Jana Piltza,Dębniki,50.0119488,19.8917764,success,strict,structured_Dr. Jana Piltza
ID4vHD1,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-mpec-recepcja-a-c-ID4vHD1,3 pokojowy apartament - mpec - recepcja - A/C,5500,"ul. św. Tomasza, Stare Miasto, Stare Miasto, Kraków, małopolskie",ul. Św. Tomasza,Stare Miasto,50.0621417,19.9421830,success,strict,structured_Św. Tomasza
